,Defectos,Scrap,Pruebas,Mtto,Proveedores,45748,45749,45750,45751,45752,45753,45754,45755,45756,45757,45758,45759,45760,45761,45762,45763,45764,45765,45766,45767,45768,45769,45770,45771,45772,45773,45774,45775,45776,45777,Total Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,Defectos,,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Defectos,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,Scrap,Pruebas,Mtto,Proveedores,COD,% W01,% W02,% W03,% W04,% W05,,,,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H, , ,,,,Proveedor Externo,I,Ferrita Dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I, , ,,,,Proveedor Externo,J,Escobilla de Baja Velocidad dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J, , ,,,,Proveedor Externo,K,Escobilla de Alta Velocidad dañada,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K, , ,,,,Proveedor Externo,L,Circuit breaker dañado  ,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L, , ,,,,Proveedor Externo,M,Terminal del Bridge Plate Dañado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M, , ,,,,Proveedor Externo,N,Varistor Dañado,,,,,,,
,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N, , ,,,,Proveedor Externo,O,Capacitor Dañado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O, , ,,,,Proveedor Externo,P,Retenedor Quemado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P, , ,,,,10,Q,Cable de Escobilla mal soldado,,,,,,,
,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R, , ,,,,10,R,Hilos sueltos,,,,,,,
